
                  X                  f        
               29.0126E-06        -0.         
               29.0945E-06        -0.         
               29.1765E-06        -0.         
               29.2584E-06        -0.         
               29.3404E-06        -0.         
               29.4223E-06        -0.         
               29.5043E-06        -0.         
               29.5863E-06        -0.         
               29.6682E-06        -0.         
               29.7502E-06        -0.         
               29.8321E-06        -0.         
               29.9141E-06        -0.         
               29.996E-06         -0.         
               30.078E-06         -0.         
               30.16E-06          -0.         
               30.2419E-06        -0.         
               30.3239E-06        -0.         
               30.4058E-06        -0.         
               30.4878E-06        -0.         
               30.5697E-06        -0.         
               30.6517E-06        -0.         
               30.7336E-06        -0.         
               30.8156E-06        -0.         
               30.8976E-06        -0.         
               30.9795E-06        -0.         
               31.0615E-06        -0.         
               31.1434E-06        -0.         
               31.2254E-06        -0.         
               31.3073E-06        -0.         
               31.3893E-06        -0.         
               31.4713E-06        -0.         
               31.5532E-06        -0.         
               31.6352E-06        -0.         
               31.7171E-06        -0.         
               31.7991E-06        -0.         
               31.881E-06         -0.         
               31.963E-06         -0.         
               32.0449E-06        -0.         
               32.1269E-06        -0.         
               32.2089E-06        -0.         
               32.2908E-06        -0.         
               32.3728E-06        -0.         
               32.4547E-06        -0.         
               32.5367E-06        -0.         
               32.6186E-06        -0.         
               32.7006E-06        -0.         
               32.7826E-06        -0.         
               32.8645E-06        -0.         
               32.9465E-06        -0.         
               33.0284E-06        -0.         
               33.1104E-06        -0.         
               33.1923E-06        -0.         
               33.2743E-06        -0.         
               33.3563E-06        -0.         
               33.4382E-06        -0.         
               33.5202E-06        -0.         
               33.6021E-06        -0.         
               33.6841E-06        -0.         
               33.766E-06         -0.         
               33.848E-06         -0.         
               33.9299E-06        -0.         
               34.0119E-06        -0.         
               34.0939E-06        -0.         
               34.1758E-06        -0.         
               34.2578E-06        -0.         
               34.3397E-06        -0.         
               34.4217E-06        -0.         
               34.5036E-06        -0.         
               34.5856E-06        -0.         
               34.6676E-06        -0.         
               34.7495E-06        -0.         
               34.8315E-06        -0.         
               34.9134E-06        -0.         
               34.9954E-06        -0.         
               35.0773E-06        -0.         
               35.1593E-06        -0.         
               35.2412E-06        -0.         
               35.3232E-06        -0.         
               35.4052E-06        -0.         
               35.4871E-06        -0.         
               35.5691E-06        -0.         
               35.651E-06         -0.         
               35.733E-06         -0.         
               35.8149E-06        -0.         
               35.8969E-06        -0.         
               35.9789E-06        -0.         
               36.0608E-06        -0.         
               36.1428E-06        -0.         
               36.2247E-06        -0.         
               36.3067E-06        -0.         
               36.3886E-06        -0.         
               36.4706E-06        -0.         
               36.5525E-06        -0.         
               36.6345E-06        -0.         
               36.7165E-06        -0.         
               36.7984E-06        -0.         
               36.8804E-06        -0.         
               36.9623E-06        -0.         
               37.0443E-06        -0.         
               37.1262E-06        -0.         
               37.2082E-06        -0.         
               37.2902E-06        -0.         
               37.3721E-06        -0.         
               37.4541E-06        -0.         
               37.536E-06         -0.         
               37.618E-06         -0.         
               37.6999E-06        -0.         
               37.7819E-06        -0.         
               37.8638E-06        -0.         
               37.9458E-06        -0.         
               38.0278E-06        -0.         
               38.1097E-06        -0.         
               38.1917E-06        -0.         
               38.2736E-06        -0.         
               38.3556E-06        -0.         
               38.4375E-06        -0.         
               38.5195E-06        -0.         
               38.6015E-06        -0.         
               38.6834E-06        -0.         
               38.7654E-06        -0.         
               38.8473E-06        -0.         
               38.9293E-06        -0.         
               39.0112E-06        -0.         
               39.0932E-06        -0.         
               39.1752E-06        -0.         
               39.2571E-06        -0.         
               39.3391E-06        -0.         
               39.421E-06         -0.         
               39.503E-06         -0.         
               39.5849E-06        -0.         
               39.6669E-06        -0.         
               39.7488E-06        -0.         
               39.8308E-06        -0.         
               39.9128E-06        -0.         
               39.9947E-06        -0.         
               40.0767E-06        -0.         
               40.1586E-06        -0.         
               40.2406E-06        -0.         
               40.3225E-06        -0.         
               40.4045E-06        -0.         
               40.4865E-06        -0.         
               40.5684E-06        -0.         
               40.6504E-06        -0.         
               40.7323E-06        -0.         
               40.8143E-06        -0.         
               40.8962E-06        -0.         
               40.9782E-06        -0.         
               41.0602E-06        -0.         
               41.1421E-06        -0.         
               41.2241E-06        -0.         
               41.306E-06         -0.         
               41.388E-06         -0.         
               41.4699E-06        -0.         
               41.5519E-06        -0.         
               41.6338E-06        -0.         
               41.7158E-06        -0.         
               41.7978E-06        -0.         
               41.8797E-06        -0.         
               41.9617E-06        -0.         
               42.0436E-06        -0.         
               42.1256E-06        -0.         
               42.2075E-06        -0.         
               42.2895E-06        -0.         
               42.3715E-06        -0.         
               42.4534E-06        -0.         
               42.5354E-06        -0.         
               42.6173E-06        -0.         
               42.6993E-06        -0.         
               42.7812E-06        -0.         
               42.8632E-06        -0.         
               42.9451E-06        -0.         
               43.0271E-06        -0.         
               43.1091E-06        -0.         
               43.191E-06         -0.         
               43.273E-06         -0.         
               43.3549E-06        -0.         
               43.4369E-06        -0.         
               43.5188E-06        -0.         
               43.6008E-06        -0.         
               43.6828E-06        -0.         
               43.7647E-06        -0.         
               43.8467E-06        -0.         
               43.9286E-06        -0.         
               44.0106E-06        -0.         
               44.0925E-06        -0.         
               44.1745E-06        -0.         
               44.2564E-06        -0.         
               44.3384E-06        -0.         
               44.4204E-06        -0.         
               44.5023E-06        -0.         
               44.5843E-06        -0.         
               44.6662E-06        -0.         
               44.7482E-06        -0.         
               44.8301E-06        -0.         
               44.9121E-06        -0.         
               44.9941E-06        -0.         
               45.076E-06         -0.         
